,Subsector Wise Standards,,"Generated On: Aug 31, 2026 10:08 AM"
481,High Voltage Engineering,Insulation Coordination,7
482,High Voltage Switchgear And Controlgear,High Voltage Switchgear And Controlgear - Assemblies,3
483,High Voltage Switchgear And Controlgear,High Voltage Switchgear And Controlgear - Switching devices,12
484,Homoeopathy,Homoeopathy Terminology,1
485,Homoeopathy,Packing and Dispensing material,3
486,Homoeopathy,Raw materials used in homoeopathy,7
487,Horizontal Test Methods,Contaminants & Adulterants,2
488,Horizontal Test Methods,Physico-Chemical Analysis,35
489,Horizontal Test Methods,Sensory Analysis,28
490,Hosiery,Intimate undergarment Hosiery apparels,1
491,Hosiery,Knitted Fabrics,7
492,Hosiery,Men’s Apparel,4
493,Hosiery,Men’s Apparel,1
494,Hosiery,Outerwear hosiery apparel,3
495,Hospital Biomedical Waste Management & Infection control,Hospital Biomedical Waste Management ,2
496,Hospital Equipment and Surgical Disposable Products ,Catheters,11
497,Hospital Equipment and Surgical Disposable Products ,Cold Chain Equipment,3
498,Hospital Equipment and Surgical Disposable Products ,Gloves,2
499,Hospital Equipment and Surgical Disposable Products ,Infusion Equipment,43
500,Hospital Equipment and Surgical Disposable Products ,Medical Furniture,24
501,Hospital Equipment and Surgical Disposable Products ,Sterilization of Healthcare Products,59
502,Hospital Equipment and Surgical Disposable Products ,"Syringes, Needles and Ampules",22
503,Hospital Equipment and Surgical Disposable Products ,Transfusion Equipment,6
504,Hospital Planning ,Healthcare Quality Management ,13
505,Hospital Planning ,Hospital Planning,6
506,Hospital Planning ,Medical Devices Quality Management,25
507,Hospital Planning ,Medical Laboratory Quality Management,14
508,Household Products,"Flasks, Bottles, Casseroles",3
509,Household Products,Hardware Locks,5
510,Household Products,Utensils and Cutlery Items,14
511,Human Resource,HR Assessment services,20
512,Human Resource,innovation management,5
513,HVDC Power Systems,HVDC Components,8
514,HVDC Power Systems,"HVDC System Planning, and Testing",25
515,Hydroelectric Power Plants,Hydroelectric Power Houses - Civil Works,10
516,Hydroelectric Power Plants,Hydroelectric Power Houses - Electro-mechanical Works,5
517,Hydroelectric Power Plants,Water Conductor System Planning and Design,25
518,Hydroelectric Power Plants,Water Conductor System- Construction and Maintenance,11
519,Hydrometry,Flow Measurement,54
520,Hydrometry,Hydrometric and Meteorological Instruments,23
521,Hydrometry,Sediment Transport,10
522,Illumination Engineering ,Illumination Engineering,13
523,Illumination Engineering ,Luminaries ,15
524,Illumination Engineering ,UV Radiation for Germicidal Purposes,1
525,In-vitro diagnostic Medical Devices & Biological Evaluation of Medical Devices,Biological Evaluation of Medical Devices,26
526,In-vitro diagnostic Medical Devices & Biological Evaluation of Medical Devices,In-vitro diagnostic Medical Devices,18
527,Industrial and Production Automation Systems and Robotics,Industrial Automation,39
528,Industrial and Production Automation Systems and Robotics,Robotics,21
529,Industrial Furnaces and Processing Equipment,Fuel-Fired Furnaces,23
530,Industrial Process Measurement And Control,Electric Furnaces,22
531,Industrial Process Measurement And Control,Industrial Process Automation - Functional Saftey,18
532,Industrial Process Measurement And Control,Measurement And Control Devices,38
533,Industrial Textiles,Coated and Treated Fabric,1
534,Industrial Textiles,coated and treated fabric for industrial applications,67
535,Industrial Textiles,Filter fabric for industrial applications,6
536,Industrial Textiles,Non wovens for industrial applications,22
537,Indutech and Buildtech,Construction and building industry,7
538,"Inland, Harbour Crafts and Fishing Vessel","Small Craft, Machinery and Equipment for Fishing Vessels and Trawlers",60
539,"Inland, Harbour Crafts and Fishing Vessel","Standardization of hull and deck fittings for Inland Vessels Dredgers, Tugs, Hopper Barges, Launches, Water Barges and constructional practices, performance requirements, trials",14
540,Inorganic Chemicals,Inorganic Chemical Products,148
541,Inorganic Chemicals,Methods of Test,89
542,Inspection and Garage Equipment ,Garage Equipments,8
543,Intelligent Transport Systems,Advanced Technologies,1
544,Intelligent Transport Systems,Communication and Devices,4
545,Intelligent Transport Systems,System Architecture and Integration,3
546,Intelligent Transport Systems,Transport Management and Control,12
547,IoT & Digital Twins,Foundational IoT Standards,1
548,IoT & Digital Twins,IoT Applications,18
549,IoT & Digital Twins,IoT Interoperability,4
550,Irrigation and Farm Drainage,Farm Drainage system,11
551,Irrigation and Farm Drainage,Micro Irrigation System ,26
552,IT Service Management and IT Governance,IT service Management,5
553,Jute and Jute Products,Jute packing practices,10
554,Jute and Jute Products,"Light weight jute bags for packaging of foodgrains, pulses, soyabean and sugar",9
555,Jute and Jute Products,Specification for jute fabrics,8
556,Lamps and Related Equipments,Auxiliaries for Lamps,18
557,Lamps and Related Equipments,Electric Light Sources,38
558,Lamps and Related Equipments,Lamp Caps and Holders,7
559,Leather and Tanning Materials Sectional Committee,"Leather, Raw Material and Intermediate and its products (excluding Footwear and Footwear Components)",71
560,Leather and Tanning Materials Sectional Committee,"Tanning materials, Leather auxiliaries including chemicals",45
561,Legal Metrology,Flow Metrology,8
562,Legal Metrology,Length Measures,6
563,Legal Metrology,Volume Measures,33
564,Legal Metrology,Weight Measures,10
565,"Lifts, Escalators and Moving Walks",Escalators and moving walks ,4
566,"Lifts, Escalators and Moving Walks",Lifts ,19
567,Low Voltage Switchgear And Controlgear,Circuit-breakers and similar equipment for household use,12
568,Low Voltage Switchgear And Controlgear,Switchgear and controlgear assemblies,9
569,Low Voltage Switchgear And Controlgear,Switchgear and controlgear equipment,15
570,Lubricants & Greases,Greases for Automotive & Industrial Sectorr,36
571,Lubricants & Greases,Lubricants for Automotive Sectorr,11
572,Lubricants & Greases,Lubricants for Automotive Sectorr,4
573,Lubricants & Greases,Lubricants for Industrial Sectorr,72
574,Lubricating Equipment ,Lubricating Equipment,21
575,Lubricating Equipment ,Lubricating System,3
576,LVDC Distribution Systems,LVDC For Electricity Access,1
577,LVDC Distribution Systems,Protection and safety in LVDC,1
578,"Machine Tools, Machine Tool Elements and Holding Devices",Holding Devices,51
579,"Machine Tools, Machine Tool Elements and Holding Devices",Machine Toolsn,95
580,"Machine Tools, Machine Tool Elements and Holding Devices",Wood Working Machines,4
581,Made-up Textiles (including ready-made garments,Bedding and made-up products,13
582,Made-up Textiles (including ready-made garments,Bedding and other made-up products,2
583,Made-up Textiles (including ready-made garments,woven apparel for men and women,21
584,"Man-made fibres, cotton and their products",Fibres,2
585,"Man-made fibres, cotton and their products",Filament Yarns,5
586,"Man-made fibres, cotton and their products",Woven Fabrics,18
587,"Man-made fibres, cotton and their products",Yarns/threads,15
588,Marine Energy Conversion Systems,OTEC and other water converters,3
589,Marine Energy Conversion Systems,Tidal Converters,1
590,Marine Engineering and Safety Aids,"Main Propelling Machinery, Auxiliary Machinery",31
591,Marine Engineering and Safety Aids,"Navigational, Communication Equipments",8
592,Marine Engineering and Safety Aids,Safety Aids for ships,32
593,Materials,Building Lime and Gypsum Products Sectional Committee,54
594,Materials,Clay And Stabilized Soil Products For Construction Sectional Committee,34
595,Measurement & Testing,Measurement methods,14
596,Measurement & Testing,Sampling inspection,23
597,Measuring Equipment for Basic r Electrical Quantities,"Equipment for testing, monitoring and measurement",43
598,Measuring Equipment for Basic r Electrical Quantities,Measurement uncertainty and evaluation processes,8
599,"Meat, Egg and Poultry",Design and mechanization of industry,12
600,"Meat, Egg and Poultry",Meat & Poultry supply chain,7
601,"Meat, Egg and Poultry",Meat and Meat based processed products,38
602,"Meat, Egg and Poultry","Poultry, Eggs and its derived products",5
603,Mechanical Equipment used in refueling stations,Gaseous Fueling Stations,6
604,Mechanical Equipment used in refueling stations,Petrol and Diesel stations,1
605,Mechanical Testing of Metals,Ductility Testing,26
606,Mechanical Testing of Metals,"Fatigue, Fracture and Toughness Testing",23
607,Mechanical Testing of Metals,Hardness Testing,21
608,Mechanical Testing of Metals,Uniaxial Testingnnn,15
609,Media and Entertainment Services,Education and Skill Development Services,1
610,Media and Entertainment Services,Event Management Services,3
611,Media and Entertainment Services,New Media Services,1
612,Medical Biotechnology and Medical Nanotechnolgy,Analytical methods in Biotechnology,7
613,Medical Biotechnology and Medical Nanotechnolgy,Bioprocessing,4
614,Medical Biotechnology and Medical Nanotechnolgy,Nanotechnology Applications in Healthcare,13
615,Medical Electrical Equipment,"Devices/Tools used in radiation, imaging, and therapeutics",38
616,Medical Electrical Equipment,Electromedical Equipment,62
617,Medical Laboratory Instruments,"Equipment for processing, handling and preparation of samples",3
618,Medical Laboratory Instruments,Laboratory glassware and plasticware,27
619,Metal Containers,Aluminium Containers,8
620,Metal Containers,Paint Containers,2
621,Metal Containers,Steel Drums,8
622,Metal Containers,Tinplate Containers,17
623,Metal Forming Machines ,Machine Tools,5
624,Metal Forming Machines ,Press working Die Sets,27
625,Metal Forming Machines ,Tools for Moulding,18
626,Metal Forming Machines ,Tools for pressing,26
627,Meteorological Instruments ,Automatic Weather Station,2
628,Meteorological Instruments ,Precipitation gauges,5
629,Meteorological Instruments ,Pressure and humidity,5
630,Meteorological Instruments ,Temperature and radiation,10
631,Meteorological Instruments ,Wind,9
632,"Methods of chemical Analysis of Metals, ferroalloys, Ores, Raw materials and miscellaneous",Ferroalloys,28
633,"Methods of chemical Analysis of Metals, ferroalloys, Ores, Raw materials and miscellaneous",Metals and alloys,86
634,"Methods of chemical Analysis of Metals, ferroalloys, Ores, Raw materials and miscellaneous",Ores ,39
635,"Methods of chemical Analysis of Metals, ferroalloys, Ores, Raw materials and miscellaneous",Refractories,12
636,Microbiological Analysis,Culture media and their ingredients for Microbiological Analysis,14
637,Microbiological Analysis,Microbiological Analysis of Food Products,61
638,Microbiological Analysis,Microbiological Analysis of Water,16
639,Mining Equipment,Mine Haulage and Locomotives,1
640,Mountaineering Equipment,Skiing & adventure sports equipment,14
641,Mountaineering Equipment,Snow sports equipment,6
642,Nanotechnologies,"Health, Safety and Environment",1
643,Nanotechnologies,Material specifications,6
644,Nanotechnologies,Measurement and Characterization,10
645,Nanotechnologies,Terminology and Nomenclature,7
646,Neurology ,Neurosurgical accessories ,8
647,Neurology ,Neurosurgical implants,5
648,Neurology ,Neurosurgical instruments ,4
649,New Technology Process,Basic statistics,20
650,New Technology Process,New statistical standards and design of experiments,35
651,Non destructive testing (NDT),Acoustic Emission Testing,2
652,Non destructive testing (NDT),Eddy Current Testing,7
653,Non destructive testing (NDT),Leak Testing,2
654,Non destructive testing (NDT),NDT Methods for detecting Surface/ Sub surface defects,4
655,Non destructive testing (NDT),Personnel Qualification,2
656,Non destructive testing (NDT),Radiographic Testing and XRF,16
657,Non destructive testing (NDT),Surface NDT Methods,17
658,Non destructive testing (NDT),Thermographic Testing,3
659,Non destructive testing (NDT),Ultrasonic Testing,19
660,"Non-Ferrous Metals and Alloys (Excluding Aluminium, Copper, Precious metals and Light Metals) ",Base Metals,7
661,"Non-Ferrous Metals and Alloys (Excluding Aluminium, Copper, Precious metals and Light Metals) ",Lead and Lead Alloys,13
662,"Non-Ferrous Metals and Alloys (Excluding Aluminium, Copper, Precious metals and Light Metals) ",Molybdenum and Molybdenum Alloys,3
663,"Non-Ferrous Metals and Alloys (Excluding Aluminium, Copper, Precious metals and Light Metals) ",Nickel and Nickel Alloys,1
664,"Non-Ferrous Metals and Alloys (Excluding Aluminium, Copper, Precious metals and Light Metals) ",Solders,3
665,"Non-Ferrous Metals and Alloys (Excluding Aluminium, Copper, Precious metals and Light Metals) ",Tin and Tin Alloys,1
666,"Non-Ferrous Metals and Alloys (Excluding Aluminium, Copper, Precious metals and Light Metals) ",Tungsten and Tungsten Alloys,4
667,"Non-Ferrous Metals and Alloys (Excluding Aluminium, Copper, Precious metals and Light Metals) ",Zinc Alloy Die Casting,2
668,"Non-Ferrous Metals and Alloys (Excluding Aluminium, Copper, Precious metals and Light Metals) ",Zinc and Zinc alloys (excluding die castings),7
669,Nuclear Energy for Peaceful Applications,Dosimetry for radiation processing,16
670,Nuclear Energy for Peaceful Applications,Industrial Applications of Radioisotopes,15
671,Nuclear Energy for Peaceful Applications,"Nuclear installations, processes and technology including reactor technology",19
672,Nuclear Energy for Peaceful Applications,Radiological Protection,10
673,Obstetrics & Gynaecological Instruments and Appliances,Gynaecology Instruments and Equipment for Surgery,38
674,Obstetrics & Gynaecological Instruments and Appliances,Non systemic contraceptives and STI Barrier Prophylactics,15
675,Occupational Safety and Health,Occupational Safety Equipments,40
676,Occupational Safety and Health,OSHA and HIRA,12
677,Oils and Oilseeds,Edible oils and fats,79
678,Oils and Oilseeds,Fatty Acids,13
679,Oils and Oilseeds,Oil industry equipment,4
680,Oils and Oilseeds,Oilseeds,6
681,Opthalmology,Ophthalmic Devices (Diagnostic and surgical electromedical devices),2
682,Opthalmology,Ophthalmic Implants and Contact lenses.,10
683,Opthalmology,Ophthalmic surgical instruments,49
684,Opthalmology,Spectacle frames and spectacle lenses.,9
685,Optics and Photonics,Microscope and Optical Material,24
686,Optics and Photonics, Laser and electro-optical systems ,5
687,Ores and Feed Stock for Iron and Steel Making,Direct reduced iron/ Hot briquetted iron(HBI)/ Cold briquette iron (CBI),20
688,Ores and Feed Stock for Iron and Steel Making,"Feed stock for blast furnace and DRI ( Lump ore, processed ore (sinter and pellets) and slurries)",29
689,Ores and Feed Stock for Iron and Steel Making,Mineralogy,2
690,Ores and Feed Stock for Iron and Steel Making,Miscellaneous,1
691,Ores and Feed Stock for Iron and Steel Making,Raw materials other than iron bearing raw materials for use in iron and steel making,18
692,"Organic Chemicals, Alcohols and Allied Productsr ",Alcoholsn,22
693,"Organic Chemicals, Alcohols and Allied Productsr ",Aromatic Compounds,19
694,"Organic Chemicals, Alcohols and Allied Productsr ",Chlorosubstituted Hydrocarbonsn,15
695,"Organic Chemicals, Alcohols and Allied Productsr ",Ketones and Aldehydesn,7
696,"Organic Chemicals, Alcohols and Allied Productsr ",Organic Acids and Anhydridesn,15
697,Orthopedics ,Orthopedic Implants,62
698,Orthopedics ,Orthopedic Surgery Instruments,92
699,Packtech,HDPE/PP woven sacks,14
700,"Paints, Varnishes And Related Products",Architectural Paints and Coatings,25
701,"Paints, Varnishes And Related Products","Architectural/ Paints, Varnishes and Lacquers",11
702,"Paints, Varnishes And Related Products",Industrial Paints and Coatings,61
703,"Paints, Varnishes And Related Products",Marine Paints and Coatings,17
704,"Paints, Varnishes And Related Products",Methods of Tests and Codes of Practices,4
705,"Paints, Varnishes And Related Products",Varnishes and Lacquers,18
706,Paper and its Products,paper and its products,1
707,Passive Safety ,Passive safety Components,26
708,Passive Safety ,Testing and Evaluation,12
709,Pesticide Residue Analysis,Single residue analysis,39
710,Petroleum,Gaseous Fuels,29
711,Petroleum,Liquid Fuels,5
712,Petroleum,"Petroleum solvents, preservatives and aromatic hydrocarbonsr ",98
713,Physical Methods of Test,Fabric,48
714,Physical Methods of Test,Fibres and Yarns,47
715,Planning & Function,Hill Area Development Engineering Sectional Committee,15
716,Plant Health Management,Chemical pesticides,45
717,Plastic Packaging,Flexible Packagingn,8
718,Plastic Packaging,Rigid Packaging,17
719,Plastics,Adhesivesn,29
720,Plastics,Composites and Reinforced Plasticsn,4
721,Plastics,Environment Friendly Plasticsn,31
722,Plastics,Plasticizers and Additivesn,3
723,Plastics,Thermoplastics,48
724,Plastics,Thermosetting Plasticsn,21
725,Pneumatic and Hydraulic Tools,Pneumatic Tools ,33
726,Polymeric Materials,Combined Flexible Materials,3
727,Polymeric Materials,Elastomeric Materials,1
728,Polymeric Materials,Flexible Insulating Sleeves,10
729,Polymeric Materials,Insulating Tapes,10
730,Polymeric Materials,Insulation Fabrics,4
731,Polymeric Materials,Papers (Cellulosic/Non-Cellulosic),11
732,Polymeric Materials,Plastic Films,8
733,Polymeric Materials,Press Boards and Related Materials,10
734,Polymeric Materials,Resins & Varnishes,20
735,Polymeric Materials,Vulcanised Fibres & Fibre Based Materials,5
736,Polyolefin based Packtech Products,HDPE/PP sacks for packaging of food items,6
737,Polyolefin based Packtech Products,HDPE/PP sacks for packaging of non-food items,8
738,Post harvest Processing Equipment,Byproduct handling and processing equipment,3
739,Post harvest Processing Equipment,Crop residue utilization,1
740,Post harvest Processing Equipment,Primary Processing Equipment,19
741,Post harvest Processing Equipment,Secondary Processing Equipment,9
742,Post harvest Processing Equipment,Value addition and Packaging Equipment,2
743,Powder Metallurgy,Hard Metal Powder,17
744,Powder Metallurgy,Metal Powder,46
745,Power & Distribution Transformers,Dry Type Transformers,2
746,Power & Distribution Transformers,Gas Insulated Transformers,1
747,Power & Distribution Transformers,Liquid Immersed Transformers,8
748,Power & Distribution Transformers,Phase Shifting Transformers,2
749,Power & Distribution Transformers,Transformers for HVDC Applications,1
750,Power Cables,Cable accessories,77
751,Power Cables,High Voltage and special cables,12
752,Power Cables,Low voltage cables,23
753,Power Capacitors ,AC motor capacitors,3
754,Power Capacitors ,Coupling capacitors and capacitor dividers,4
755,Power Capacitors ,Power electronics capacitors,2
756,Power Capacitors ,Series capacitor banks and protective equipment,4
757,Power Capacitors ,Shunt power capacitors for AC systems,7
758,Power Capacitors ,Special applications power capacitors,4
759,Power Electronics,Power Drives,2
760,Power Electronics,Power electronic converters and stabilized power supplies,7
761,Power Electronics,Uninterruptible power systems (UPS),2
762,Power System Control & Communication,DMS,2
763,Power System Control & Communication,EMS,5
764,Power System Control & Communication,Power System cyber security,19
765,Power System Control & Communication,SCADA,3
766,Power System Control & Communication,Smart Energy,1
767,Power System Control & Communication,Telecontrol equipment and systems,19
768,Power System Control & Communication,WAMS and other related systems for Power System,9
769,Power Systems Relays,Application guide for electrical relays,13
770,Power Systems Relays,Electromechanical elementary relays,6
771,Power Systems Relays,Measuring relays and protection equipment,15
772,Power Systems Relays,Reed switches,2
773,Power Systems Relays,Relays for special applications,6
774,Power Systems Relays,Solid-state relays,1
775,Power Systems Relays,Substation automation,1
776,Power Systems Relays,Time Relays,4
777,Precious Metals,Diamond,10
778,Precious Metals,Gold ,13
779,Precious Metals,Palladium,2
780,Precious Metals,Platinum,7
781,Precious Metals,Silver,6
782,Primary Cells and Batteries,Application specific,1
783,Primary Cells and Batteries,Chemistry specific,1
784,Primary Cells and Batteries,General safety,2
785,Printing and graphic,Data Processing,10
786,Printing and graphic,post press,3
787,Printing and graphic,Publication & Quality,48
788,Printing Inks,Printing Inks Methods of Test,4
789,Printing Inks,Printing Inks Products,25
790,Production & services,Marketing services,4
791,Production & services,Production management,14
792,Production Management,Marketing,3
793,Production Management,Production support,13
794,Production quality control,Statistical - quality control,19
795,Project Management,Project Programme Management,11
796,Project program services,project program management,15
797,Pumps,Agricultural Pumps,17
798,Pumps,Industrial Pumps,22
799,Pumps,Solar Photovoltaic Water Pumping Systems,2
800,Quality Management,Customer satisfaction,21
801,Quality Management,Guidelines for auditing/ consultancy/Change Management,4
802,Quality Management,Quality Control/ Measurement and Performance evaluation,10
803,"Raw materials for paints, varnishes and related product",Additives,2
804,"Raw materials for paints, varnishes and related product",Binders,11
805,"Raw materials for paints, varnishes and related product",Extenders and Fillers   ,6
806,"Raw materials for paints, varnishes and related product",Pigments,19
807,"Raw materials for paints, varnishes and related product",Solvents,11
808,Reference Material,Qualitative Reference Materials,5
809,Refractories,Dense Shaped refractories,37
810,Refractories,High Temperature Binders for Refractories,1
811,Refractories,Monolithics ,23
812,Refractories,Refractory Raw Materials,11
813,Refractories,Shaped Insulating Refractories,9
814,Refractories,Special Refractories,8
815,Renewable Energy Sources,Bioenergy,3
816,Renewable Energy Sources,Solar Energy,21
817,Reservoir and Lakes,Operation and maintenance (including sediment management),7
818,Reservoir and Lakes,Plaining and Design of storage capacity,7
819,Risk Management,Community Resilience,4
820,Risk Management,Emergency Management,4
821,Risk Management,Societal Security,3
822,Risk Management,Supply Chain Security,5
823,Risk Management,Urban Management,2
824,Risk Management/ Security and Resilience,Business Continuity Management,9
825,Risk Management/ Security and Resilience,Community Resilience/Urban Management,14
826,Risk Management/ Security and Resilience,Emergency Management System,14
827,Risk Management/ Security and Resilience,Risk Management System,5
828,Risk Management/ Security and Resilience,Supply Chain,5
829,Ropes and cordages,Nets,3
830,Ropes and cordages,Ropes,3
831,Ropes and cordages,Ropes,47
832,Ropes and cordages,Slings,1
833,Rotating Machinery,"Application specific standards, and Efficiency",22
834,Rotating Machinery,DC Machines and Components,12
835,Rotating Machinery,"Dimensions, Terminal markings, connections and symbol",2
836,Rotating Machinery,Generators,3
837,Rotating Machinery,Rotating Electrical Machines (IEC 60034 series),10
838,Rotating Machinery,Submersible and agricultural applications,2
839,Rubber,Natural Rubber,3
840,Rubber,Raw materials (including latex) for use in the rubber industryr ,14
841,Rubber,Reclaimed Rubbern,1
842,Rubber,Rubber Hoses and Hose Assembliesn,6
843,Rubber,Rubber Products,2
844,Rubber,Vulcanized and Synthetic Rubbers and Latexn,1
845,Safety,Passive Safety of Vehicles,6
846,Safety of Machinery,Mechnical machinery and equipments,13
847,Safety Of Machinery- Electrotechnical Aspects,Electro-Technical Aspect of Machine Saftey,18
848,Secondary Cells and Batteries,General standards and Fuel cells,8
849,Secondary Cells and Batteries,Lead acid and other aqueous electrolyte based,24
850,Secondary Cells and Batteries,"Li-ion, Ni-cd and other Advanced chemistry based",21
851,Security Equipments,Ballastic Security Products,6
852,Security Equipments,Financial Security Products,17
853,Semiconductors,Integrated Circuits,14
854,Semiconductors,Semiconductor Devices,6
855,Service,Conformity Assessment,1
856,Service,Security and Resilience,1
857,Sewing Machines,Household Sewing Machines,36
858,Sewing Machines,Industrial Sewing Machines,13
859,Ship Building,Marine Environment,8
860,Ship Building,Shipbuilding,2
861,Ship Building,Ships and their Systems-accessories and fittings,113
862,Siddha,Siddha Terminology,1
863,Silk and Silk products,Silk yarn and fabric,12
864,Silk and Silk products,"Vanya Silkn (Eri, Muga and n Tasar)",9
865,Smart Agriculture,Protected Cultivation and precision agriculture,7
866,Smart Agriculture,Urban Farming Technologies,2
867,Smart Infrastructure,Smart Cities,17
868,"Soaps, Detergents and Surface Active Agents",Detergents,14
869,"Soaps, Detergents and Surface Active Agents",Soaps,15
870,"Soaps, Detergents and Surface Active Agents",Surface cleaner,4
871,Social Responsibility,Good Governance,9
872,Social Responsibility,Social,3
873,Software & Systems Engineering,Agile Practices,1
874,Software & Systems Engineering,Architecture,4
875,Software & Systems Engineering,Data Management,1
876,Software & Systems Engineering,Indian Language Technologies,7
877,Software & Systems Engineering,Life Cycle Management,7
878,Software & Systems Engineering,Programming Languages & their Environment,10
879,Software & Systems Engineering,Software Asset Management Process,3
880,Software & Systems Engineering,Software quality assurance and software testing,16
881,Soil Health Management,Bio-fertilizers and Bio- Stimulants,12
882,Soil Health Management,Chemical fertilizers,34
883,Soil Health Management,Soil quality including soil amendments,22
884,Solar Photovoltaic Energy Systems,Concentrator modules ,9
885,Solar Photovoltaic Energy Systems,"Modules, non-concentrating ",18
886,Solar Photovoltaic Energy Systems,"Renewable energy off grid systems, including access to electricity, rural electrification and hybrid systems",23
887,Solar Photovoltaic Energy Systems,"Systems, tests and support structures",63
888,Solid Mineral fuels and solid biofuels,Coal,32
889,Solid Mineral fuels and solid biofuels,Coal,9
890,Solid Mineral fuels and solid biofuels,Coal,8
891,Solid Mineral fuels and solid biofuels,Coal,7
892,Solid Mineral fuels and solid biofuels,"Coal , lignite and Brown Coal",36
893,Solid Mineral fuels and solid biofuels,Coke,11
894,Solid Mineral fuels and solid biofuels,Coke,17
895,Solid Mineral fuels and solid biofuels,Lignite,1
896,Solid Mineral fuels and solid biofuels,Solid Biofuelsn,16
897,Spices and Condiments,Culinary herbs,7
898,Spices and Condiments,Oleoresins ,4
899,Spices and Condiments,Whole & Ground spices,60
900,Sportech Sectional Committee,Non-wear sports application,3
901,Sports Goods,Athletics and Physical Fitness,14
902,Sports Goods,Football and Inflatable Balls and Accessories,10
903,Sports Goods,Gymnastic Equipment,10
904,Sports Goods,Racket and Indoor Games,24
905,Springs and Suspension System ,Helical Springs,1
906,Stationery Items,Stationery Items Products,19
907,"Steel Tubes, Pipes & Fittings",Fittings,5
908,"Steel Tubes, Pipes & Fittings",Pipes for Oil & Gas Transportation,1
909,"Steel Tubes, Pipes & Fittings",Seamless Steel Pipes and tubes,2
910,"Steel Tubes, Pipes & Fittings",Seamless Steel Pipes and tubes,18
911,"Steel Tubes, Pipes & Fittings",Stainless Steel Pipes and tubes,3
912,"Steel Tubes, Pipes & Fittings",Welded Steel Pipes and tubes,7
913,"Sugar, Confectionary & Honey",Apiary Equipment,14
914,"Sugar, Confectionary & Honey",Apiary Products,3
915,"Sugar, Confectionary & Honey",By-products of Sugar Industry,1
916,"Sugar, Confectionary & Honey",Good Apiculture Practices,1
917,"Sugar, Confectionary & Honey",Sugar Industry Equipment and Plant Layout,30
918,"Sugar, Confectionary & Honey",Types of Sugar (including traditional sugars),16
919,Surge Arresters,High voltage surge protective devices,3
920,Surgical devices,General and Minimally invasive surgery devices,98
921,Surgical devices,Plastic Surgery devices,11
922,Surgical devices,Urology devices,6
923,Technical Textiles for Agrotech Applications,Crop Protection,12
924,Technical Textiles for Agrotech Applications,Water and Soil Management,6
925,Technical Textiles for Medtech Applications,Healthcare,30
926,Technical Textiles for Medtech Applications,Hygiene,3
927,Technical Textiles for Medtech Applications,Non-Implantable,41
928,Technical Textiles For Mobiltech Applications,Automobile,21
929,Textile Machinery and Accessories,"Preparatory, finishing and other processes",32
930,Textile Machinery and Accessories,Spinning and Weaving,150
931,Textile Materials for Aeronautical Products,"Fabrics, Braids, and Sewing Threads",9
932,Textile Materials for Aeronautical Products,Tapes and webbing products,11
933,Textile Materials for Marine/Fishing Purposes,Fishing Cage,1
934,Textile Materials for Marine/Fishing Purposes,Fishing Nets,38
935,Textile protective clothing,Ballistic Protection,1
936,Textile protective clothing,Fire Protection,10
937,Textile protective clothing,"Wind, chemical, and rain protection",20
938,Textiles Speciality chemicals and Dyestuffs,Textile Speciality chemicals,17
939,Textiles Speciality chemicals and Dyestuffs,Textiles Dyestuffs,46
940,Tools And Equipment For Live Working,Protective Equipment For Live Working,24
941,Tools And Equipment For Live Working,Tools For Live Working,3
942,Tourism & Hospitality Services,Accommodation Services,5
943,Tourism & Hospitality Services,Adventure Tourism,4
944,Tourism & Hospitality Services,Coastal Tourism,2
945,Tourism & Hospitality Services,Diving Services,16
946,Tourism & Hospitality Services,Medical & Wellness Tourism,2
947,Tourism & Hospitality Services, MICE,1
948,Tourism & Hospitality Services,Restaurant and Catering Services,1
949,Tourism & Hospitality Services,Sustainable Tourism,2
950,Tourism & Hospitality Services,Tourist Information Services,1
951,Transmission Devices,Chains and chain sprockets for power transmission,13
952,Transmission Devices,Clutches and couplings and keys & keyways,10
953,Transmission Devices,Gears,21
954,Transmission Devices,Shafts for machinery and accessories,9
955,Transport & Logistics ,Cold Chain Logistics,1
956,Transport Packaging,Packaging,64
957,Transport Packaging,Pallets,10
958,Transport Services,Road Transport,3
959,"Transport Tractors, Trailers And Industrial Trucks",Component and Fittings,20
960,"Transport Tractors, Trailers And Industrial Trucks",Industrial Truck,1
961,"Transport Tractors, Trailers And Industrial Trucks",Industrial Truck,36
962,"Transport Tractors, Trailers And Industrial Trucks",Industrial Vehicles,10
963,"Transport Tractors, Trailers And Industrial Trucks",Specialized Vehicle Equipment,10
964,"Transport Tractors, Trailers And Industrial Trucks",Trailer and Coupling,14
965,Turbines,Hydraulic Turbines,1
966,Turbines,Steam and Gas Turbines,14
967,UHV Transmission System,Commissioning & Maintenance ,4
968,UHV Transmission System,System design,4
969,Unani,Single Herbs used in Unani,4
970,Unani,Unani Terminology,3
971,Unmanned Aerial Vehicles ,"Manufacturing,Operation and Maintenance",4
972,Veterinary,Veterinary Surgical Instruments,14
973,Waste Management (excluding liquid and nuclear waste),Handling and Management of waste,15
974,Water Quality,Biological Parameters,4
975,Water Quality,Chemical Parameters,64
976,Water Quality,Physical and Chemical Method of test,76
977,Water Quality,Physical Parameters,21
978,Water Quality,Sampling,26
